25 20
#############
#.....k.....#    ########
#...s...s...######......#
#......g.......d.....z..#
#...........######......#
#...........#    #......#
#.........w.#    #..g...#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #s.#     W     #..#
    #..#          ##..##
  ###..####      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #...@...#      #......#
  #.......#      #......#
  #########       ######
